NodeID,t,solar_Production,SpatialUsage,GridPurchaseCost,InstallationCost,O&MCost,GridPurchaseQuantity,GridPercentage,RenewablePercentage,TotalCost,wind_Production,InventoryUsage,InventoryPercentage,SalvageCost
15,11,82961760.22765726,314036.7914139532,0.22543332931568658,2.340753888535084,0.1973665065608793,2188600.8116303976,6.354983736953491,56.20590225137298,2.7635537244116497,5022695.485590233,21468456.845804125,62.33740451322336,
15,12,82538566.37950829,314317.410514722,0.15982240456955896,1.9236412389465019,0.1914455113640529,1599610.9086198097,4.644748944490933,56.03112727508504,2.2749091548801137,4935344.259753881,28979070.973075826,84.14578107038477,
15,13,105127839.41572255,371790.0706833332,0.04515910114810141,6.7302709016557465,0.2079631907854656,465961.7326947215,1.3530010669747012,56.84194070067021,6.983393193589314,4847993.033917529,44830244.800263084,130.17242574130404,
15,14,104589583.23315176,372802.24184849544,0.023421769402658183,6.528362774606073,0.20172429506190165,249145.4320523157,0.7234371660719742,56.67114771756071,6.753508839070633,4760641.808081177,37867779.086219996,109.95569359594825,
15,15,104051327.050581,545902.3929668402,,6.332511891367891,0.21646295935751575,,,69.121129017516,6.548974850725407,15592193.811788809,36049523.87182302,104.67607281918549,
16,11,73821119.73510076,285536.84697633586,0.315044715056836,2.5901179587274914,0.16444920571595756,3058585.530215476,8.881135929087424,55.71056154299549,2.9864680736978557,5022695.485590233,17142016.511774585,49.774831285821804,0.08314380580242917
16,12,98138687.41785893,342510.8511764433,0.14958576779186156,4.162063716001034,0.18450833232652372,1497155.7121704472,4.347252432682077,56.72950094441467,4.496157816119419,4935344.259753881,24235561.25981512,70.3721742419215,
16,13,97640138.9393976,343066.713584313,0.07392305171932889,6.7302709016557465,0.17897308235672799,762754.625081109,2.2147909348829655,56.556928531763525,6.983167035731803,4847993.033917529,37453603.970425785,108.75306399299096,
16,14,195912202.04787946,570184.8404079556,0.01957517990348241,6.528362774606073,0.252916015674968,208227.93405187508,0.60462608231115,59.019257612737974,6.800853970184523,4760641.808081177,49179494.42105384,142.8012297064668,
16,15,318383064.99516237,853943.5333355416,,6.332511891367892,0.33363320267876545,,,60.21181723044592,6.666145094046657,4673290.582244825,57602873.66978395,167.2599788083617,
17,11,82961760.22765726,314036.7914139532,0.22543332931568646,2.340753888535084,0.1973665065608793,2188600.8116303976,6.354983736953491,56.20590225137298,2.7635537244116497,5022695.485590233,20991324.53542864,60.951967727904595,
17,12,82538566.37950829,314043.8321766596,0.22008190317286536,0.04826436068886545,0.1914455113640529,2202728.7979633943,6.3960068065351985,56.03112727508504,0.45979177522578374,4935344.259753881,21252084.8346407,61.70913068422339,
17,13,106808025.42809509,371134.2875398469,0.09031768590152811,3.528764376655146,0.2079631907854656,931918.1371133856,2.705986662371621,56.901425914056816,3.8270452533421397,4847993.033917529,31125499.193940323,90.3783093430808,
17,14,180339327.00566977,541825.7431668506,0.022725796173081566,6.528362774606074,0.261208389403608,241742.12498363492,0.7019403742536019,58.7221235215189,6.812296960182763,4760641.808081177,47055770.43681705,136.6346271401684,
17,15,302885544.583265,825636.7217684156,,6.332511891367891,0.3416768051955463,,,60.106628917332635,6.674188696563437,4673290.582244825,59040659.12374595,171.4348393533279,
18,11,85607801.07541847,227720.32477199065,0.3188358570166563,6.529619250465992,0.16224232768762778,3095391.5180232907,8.988008526729809,46.93182124572844,7.010697435170276,,24056277.328342706,69.85159211349054,
18,12,108184933.82932661,284573.8194143984,0.20531482223429276,2.6940498781740416,0.18236766063904383,2054929.846862447,5.966846803672181,47.99806232228228,3.081732361047378,,28200693.555625644,81.8856266361813,
18,13,107634537.36444972,285585.99057956063,0.08564145522938606,6.7302709016557465,0.17689663081987253,883667.7403810519,2.56588322966426,47.975102237289875,6.992808987705006,,49053139.06771347,142.43433492543232,
18,14,107084140.89957282,286598.16174472286,0.036580983082852764,6.528362774606073,0.17158973189527632,389124.522506888,1.1298908412351796,47.95204339113431,6.736533489584202,,43867503.65025063,127.37693909124323,
18,15,129546211.31905916,516158.8018665167,,6.332511891367891,0.20489336658069854,,,65.78659497976173,6.537405257948589,10918903.229543984,48044793.953138135,139.50642921950822,
